userid,filled_atype2
0a0af8893cdc8454338447004eeaf65ee2934977c71ec48d3bb17e6723e1daef,LeftTroll
0a28cce3456210096acbe471542b0a727b2f3ebb287e4dcd44668ff116569086,Unknown
0a4c8d3408022f1592dc1aad296b0052f156adf00c8372febc32150139e54c2f,HashtagGamer
0a4d0413b61976deea1988716378e264f136b864b0e2ac91e15709a3d86ecb76,NonEnglish
0a7ab8507febee9003de1deaa5e0f001cc0a5e7d95744db3ccf0f3055549334c,LeftTroll
0ab37cc5aec441fef5b58039b1aa2de2c904e48d67c32325117d7894ef97414c,RightTroll
0acaa33daa144466c9bcc63d141f3c23367c76d4a15f39ce65936b43e8923f78,NonEnglish
0af66a14ce128d9644bf530a9fb84f54cb9442e19e759f8348d7ae3c45dbb490,Unknown
0b0f2bde6e82d95eb77145d4c93f66febecefa7f16e2f20f5e715026db016d57,NonEnglish
0b32033fa0dbd31d7d14be87a0a1cd0ca5bfc089b97a7dcbe955e65121bd9725,NonEnglish
0b4408365553dce04764e9bc6120a47e38cbf918759984b6c7761a6ea0eac71e,Fearmonger
0b618736b1efd919d8dd9217e918bcbf1570dfb4122b461299494ccb02226503,Unknown
0b63f068d36f7f707743a621dc3798694ea010995bae1fa4ffffa0d6a023a8d7,RightTroll
0b65c59280c21fc22e0fdbf690ac66e50c83497f2e3e96c0d81824991ced17ba,NonEnglish
0b7ee64fa1c86b9fbaeac852155aa7022024b29da72bd910c919acdbccce2a29,NonEnglish
0ba7b20ac6f6508ed2189050961f219b62ab06da5ed1aaf089f6a599844ca370,RightTroll
0bb9ff165ab81a5526043b6f5798e6dac30e663c0d1d0d9dd1a081cddf03278f,RightTroll
0bcc8286c0d5f70c85157ea285daab748b706843bd2179e14d130c48e235f230,NonEnglish
0bd393301bee1cddd6251ba705dd3338938dbb7d85d31111acb557a01f0451ae,LeftTroll
0bd90956773ce0b3e7e6bd9714012c8ae93a58382495eb20d0149c3e00351f39,Fearmonger
0bfbcf5f2f3d765c3806ac1c4c0fa88458bb0d630a274b2ca27e66b793e7760d,NonEnglish
0c02a1b9462f51afb075826849d9c093bf4e00f421d37baebe4a51b1a1e4d04e,Unknown
0c0f88763a3753a399e441d45d1a49f6d50655a975d436e8d27aae0e02003b7e,NonEnglish
0c0ff15cd51357a516a60b05c14f74282a4cea55cc89ef3d35900c64a5f1ad1c,NonEnglish
0c29b4cb2c492ac7a62883809c3b2e4bb92ac32bc56a15a0f803dbc2c82e56cf,Unknown
0c2a394346577c6399df35175e33cb2d89a72a619451246fa5af33bc8dbe043a,Fearmonger
0c378d74b9a77ac71eee3fa80e89d737103ab3452f82b4988302b2dee1fbb444,NonEnglish
0c44b10924e20a206d04b83944c80f5c701c2a37caeee437b513e476c954d554,HashtagGamer
0c509e1e352c2aa8469604b25951702036194c6f1c5eddfec2837f9de087da54,NonEnglish
0c84060d401ead5f7f33bed7198bf2a74bbeabed660f9ee3a1e832e99fea8377,NonEnglish
0cbae0d9d4b7b7e4e64f4626050ff669856d5d1559467fa925a92a1ac98c31fb,NonEnglish
0cc0ae741087a8b728031b1c2cd0fcb4e4b4656e11eb08e5d790f79a05ae1cb0,Fearmonger
0cc46b0afa366843ec813e21793a9bdd651d1b0e2611f241a64210665cb0df0b,LeftTroll
0cd29639b180c0eb8808d6b29c7e23b9c118678fd77e56c4150c542ca28a50f8,NonEnglish
0cec2af5f5508e32090a28c68fb95cc67212dde8fc881a32ec60951365388f68,NonEnglish
0cfd6fe34c534b19cb39487a67e296d82193776e18424c9ff07dcdae28d5a680,HashtagGamer
0d1500680d8b3084dc5e508a9c2cb4e75416748df9934be1812cee5a5f3b2fec,Fearmonger
0d33d19fbadccaad0033a0a0d6ec7f9919e21da60ea95819144902bf26a40f5b,NonEnglish
0d46a746ecb57d9946ea13752f85691f8feaa5c64b6c014db909219b4e031953,Fearmonger
0d570c4fc61f140be54a7c8bc9c81c0c69273b6063a020ea6517ad747671873f,RightTroll
0d5a39ccc07168a96034987e8ebf1dbaa3ad4b0aa66b68e639daf160330784d7,Unknown
0daa1f861eda1474712846337fd3de0be1db1baf24aa4fdad76b8b0593d8bb15,NonEnglish
0dabefc141ed17bc26c9e83b79e2bbadce60b56ec85619fed4fb969d8cdc7407,Fearmonger
0dc6bee9bf8c37e38dd256d51b288236221c64b3610c5ea4d69480ac49857be3,LeftTroll
0dea399346f2f1a94e11fbc84897a35f1ccd3fcde6ea5f0e207ba0b296412e47,LeftTroll
0e082da92a7b3629b1d1cd21c31f3277acf9858b7842453810a7809d6a1bf3b5,Fearmonger
0e0e2f3a2fb0b966a3769f6fb88aaadeaed284343f4c2189d23a2186bb3a90ef,LeftTroll
0e2494f37df25d4ff815d1876f8e096a6d276316c9d3ec59b7419fa11eff1d79,Unknown
0e401ffd870e70059283ece642bced50c8870c714b31ca9ccba0c3b0424db72b,NonEnglish
0e45ab999195a3855dec08d8c59acde655a8fc65f8921fd3020b11a5e77fe632,Fearmonger
0e45d2af1bbca512ab1d8fa1c2216c038f9627bb773ab4cbe351404ee7a2c93e,RightTroll
0e485324b9147f0671159b5f7f2fecc4fbb2e1dc5daffdc28cdd7ed43b12c6ad,Unknown
0e83453c4ae9867d6404bc1b8289eb5562f806b890d23a9fce9cb9f851b8a2d7,NonEnglish
0e8817bd0b488bde819861d8a2e577c4459b8594d8e54c00c6259155fe6bbf6e,NonEnglish
0eb547347f0e953ea597a3e1cf64b46a7412534ddc7ea29cbc2dace983b2408d,Fearmonger
0ef5356933cd19bcf029d088ac42483b9f401529367a7401f0e63cf26c1858b7,NonEnglish
0f267c982420acc7b219c3f993af30fe1b36232768c5152236ba589d9a4f7c73,Fearmonger
0f50440d89eb1458128e5bbac378d1daa49356c322fb21b808f1381a2822a4ee,NonEnglish
0f69ebeb238760cdfe0b254fd0505014d590d2f67f2637a3663f33589d80625c,LeftTroll
0fa181240674d789ade83b5ce61a29a42f12dddf5a706d80032509f98358a9e5,RightTroll
0fcc412adf3a59424b27677147cd8e6b70a581f687bf425dd07a87079f141636,Fearmonger
0ff1f96c7e4e13253536febfd0cae037b1e14a446d2852d3ab16d44d3827f69f,Commercial
10167f0b214c9da8f01ac009ed1c63d2646d046b96eacb9ceabd9fa19fce9449,NonEnglish
101983b0315bf19ee2e9fc50aea00e991c4adf0124e50ed17f20f93b0763e441,LeftTroll
10213dd75b288d1b5e046ae76a8595576b29ded02b939218ef3ef854fcdd53cf,NonEnglish
1028b0359b4eeb42cc7b0724cfa7801b85d81f82f0655f76707f2ae00f77208a,NonEnglish
10307fa265ca82edce35a263827bd9acd1e85aa2a816feadfa6c61302d13bb9c,Fearmonger
103a0c1f94dde393110777de9fdfa42aaec6b9b5a8274d1ddeee4e5bd2e12adb,NonEnglish
105597dbbc198c8cd7eac455cb3afe072345ea2aa3d391d77bd03bfeb610707e,NonEnglish
105f376690d717af2c860c019fa3b2d093c094b935b3defff91384345fd1a301,NonEnglish
10702d26095f66cc83925c4bcb1f1848f122769fbdbc820b7c2ca02a35efbd6c,NonEnglish
10b6deab12ccc2f45a04ec0476b5442460c67120aeb2f20f31a5d7eece634eed,NonEnglish
10e327898764bff0fa7c5ddbb1fcdcd0f21a2866e8f51f5f729bb12ed95abaa1,Unknown
10f62eab6984a76b343b1034db3fe283d4e2b8ccc37afe7555ef999116c477e2,Fearmonger
10f71f9ededfa48781cdebed2b1c10ce93fc58f2e933d712933499158036ae20,Unknown
11156a08b4411e78df73ac2626b8471f6d79c989397e4c5388f5d20b72e36d97,Unknown
111990f20d27996918f6a23ee7dff7630c58770aa18c6d655cb384b50da41266,Unknown
11383baf11516420d1bd262e8565ac071a0228e9f394ab71d9f90a0f868f0e08,NonEnglish
115559e57d19ba4f1e39dfa5df24bd3b2437891f93ad3f16cf38ba43ebf8223a,NonEnglish
1169ee3779ef865fc3a04f2cd8a50f30d84d4d1adaa7fe8c268795d65ca212f0,RightTroll
1174a72f0cd990f88feea30349868e2f4ba08f10d2126163816315d885653f93,NonEnglish
118c9e8e52c06161110bf0d7294234fd0ab6b2bdf864957613df56aa45e4154e,Fearmonger
11a07682d2c2039b2a46a9a77f697c24d593c00dcef497ea960d2e1770ca3a59,RightTroll
11b2a99966def750bb3e9a4b52d46826cec464aefefecfb792c3b0da7e2d2be7,LeftTroll
11b623d4bc28f91cc6406dcf6c94b5e3694c31ffe3ba115762ea6fcc48914ff6,NonEnglish
11c1c68e0dd3ffcfb5348d912f6e695d5a942b7c7aeddd682f307454388ed612,NonEnglish
11e4cf294fa06453932466175491f48aa2690845ae8be0c1597d21943679db1d,RightTroll
1215adb7d2b24b57b28df776cab62b1eed15d0d6d6f85e218abde8f7e5252d31,Unknown
1217457b2be85f0bf13e90a0a1b74a772306ecf4d45c1775792d4d892927087a,Fearmonger
1217e54c19795e1606159dc91853cb61f379f48b0b75efc1e587cacb2ab980f0,NonEnglish
12192b19bad944e56a295abc34ab7b1e36a24e20f45c62f33fb86ca86e21bca2,NonEnglish
123f9bfa78a5f20ef9452f2915ea01c51269edf63e41b912809abb4de61cd1ea,Fearmonger
1240007161,NonEnglish
1253b5b9b912f1804d8081a255709df485a83cad1701945b35d7bff0bc222db5,LeftTroll
12590c8b83c3e58f34b833eeac0de811919e36ca19c247987db3683bdd13ac08,NonEnglish
12ae3b0034b0205e70c1e3f075f2964cd33a3a8336848873fd06d7b2d6c903e4,NonEnglish
